,,Similarity_Type,Number of Clusters (input),Number of clusters(output),Affinity Type,Word/Sentence,File_Name,Clusters,Mismatch Metric,Match Metric,M,False Positive,False Negative
,,skipthoughts_similarity,8,5,nearest_neighbors,word-based,n50_de_rma,"[2, 2, 7, 6, 2, 2, 7, 7, 7, 2, 2, 2, 6, 2, 2, 7, 7, 7, 0, 2, 6, 4, 6, 2, 2, 6, 7, 7, 2, 6, 7, 2, 6, 2, 7, 2, 2, 2, 0, 6, 2, 7, 7, 2, 2, 2, 2, 6, 2, 2]",864,76,9,60,804
,,skipthoughts_similarity,8,8,nearest_neighbors,sentence-based,n50_de_rma,"[4 5 0 0 6 1 7 6 5 6 1 0 2 5 4 0 0 6 0 6 7 7 7 2 4 2 5 3 2 1 2 3 5 1 3 3 1
 3 7 2 3 5 6 2 1 4 4 1 6 4]",340,56,6,80,260
,,skipthoughts_similarity,8,6,precomputed,word-based,n50_de_rma,"[4, 5, 0, 1, 4, 1, 5, 4, 7, 5, 5, 0, 4, 4, 5, 5, 1, 1, 0, 5, 0, 0, 7, 4, 5, 1, 1, 1, 1, 5, 1, 0, 1, 0, 0, 1, 2, 4, 4, 5, 2, 1, 5, 5, 4, 5, 5, 1, 5, 7]",544,72,8.5,64,480
,,skipthoughts_similarity,8,8,precomputed,sentence-based,n50_de_rma,"[1 1 7 3 3 4 1 6 5 3 5 3 0 1 1 5 5 6 4 6 2 2 2 3 1 5 5 0 0 0 0 0 1 7 0 0 7
 7 1 0 0 5 6 3 3 1 1 5 3 3]",374,76,6,60,314
,,skipthoughts_similarity,8,6,rbf,word-based,n50_de_rma,"[7, 2, 7, 2, 3, 0, 2, 2, 0, 2, 0, 0, 2, 2, 2, 0, 0, 0, 0, 0, 7, 6, 7, 2, 0, 2, 2, 2, 2, 0, 0, 2, 7, 2, 0, 0, 2, 2, 0, 2, 2, 0, 0, 7, 2, 0, 6, 0, 0, 5]",850,64,4,72,778
,,skipthoughts_similarity,8,8,rbf,sentence-based,n50_de_rma,"[5 2 7 7 7 0 7 4 2 7 0 7 6 6 0 7 7 4 7 4 3 3 3 2 0 2 2 1 2 0 6 6 2 0 0 6 0
 1 5 6 6 2 7 2 0 2 2 0 7 7]",444,66,5,70,374
,,skipthoughts_similarity,8,5,sigmoid,word-based,n50_de_rma,"[7, 0, 4, 0, 4, 0, 4, 4, 3, 0, 4, 4, 0, 4, 4, 3, 1, 0, 0, 4, 3, 3, 1, 0, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 0, 0, 4, 4, 0, 0, 4, 4, 4, 4]",1050,106,4,30,1020
,,skipthoughts_similarity,8,1,sigmoid,sentence-based,n50_de_rma,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2364,136,50,0,2364
,,skipthoughts_similarity,8,4,polynomial,word-based,n50_de_rma,"[4, 6, 6, 6, 4, 4, 4, 6, 6, 6, 6, 4, 6, 6, 6, 6, 0, 6, 0, 6, 4, 5, 5, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 4, 6, 6, 6, 6, 6]",1474,120,4.5,16,1458
,,skipthoughts_similarity,8,8,polynomial,sentence-based,n50_de_rma,"[2 1 2 4 2 1 4 5 4 7 1 0 1 1 4 6 6 5 4 5 3 3 3 4 4 1 4 1 1 1 1 1 4 1 1 1 1
 1 2 1 1 4 5 1 1 4 4 1 2 4]",634,84,3.5,52,582
